timestamp,twelvedata,finage,yahoo_finance
1631384890,378.49000,378.49,378.0
1631384957,378.49000,378.49,378.0
1631385022,378.49000,378.49,378.0
1631385086,378.49000,378.49,378.0
1631385150,378.49000,378.49,378.0
1631385214,378.49000,378.49,378.0
1631385279,378.49000,378.49,378.0
1631385343,378.49000,378.49,378.0
1631385407,378.49000,378.49,378.0
1631385471,378.49000,378.49,378.0
1631385535,378.49000,378.49,378.0
1631385599,378.49000,378.49,378.0
1631385664,378.49000,378.49,378.0
1631385728,378.49000,378.49,378.0
1631385792,378.49000,378.49,378.0
1631385856,378.49000,378.49,378.0
1631385920,378.49000,378.49,378.0
1631385984,378.49000,378.49,378.0
1631386048,378.49000,378.49,378.0
1631386112,378.49000,378.49,378.0
1631386176,378.49000,378.49,378.0
1631386240,378.49000,378.49,378.0
1631386305,378.49000,378.49,378.0
1631386369,378.49000,378.49,378.0
1631386433,378.49000,378.49,378.0
1631386497,378.49000,378.49,378.0
1631386561,378.49000,378.49,378.0
1631386625,378.49000,378.49,378.0
1631386690,378.49000,378.49,378.0
1631386754,378.49000,378.49,378.0
1631386818,378.49000,378.49,378.0
1631386882,378.49000,378.49,378.0
1631386946,378.49000,378.49,378.0
1631387010,378.49000,378.49,378.0
1631387074,378.49000,378.49,378.0
1631387138,378.49000,378.49,378.0
1631387203,378.49000,378.49,378.0
1631387268,378.49000,378.49,378.0
1631387332,378.49000,378.49,378.0
1631387396,378.49000,378.49,378.0
1631387460,378.49000,378.49,378.0
1631387524,378.49000,378.49,378.0
1631387588,378.49000,378.49,378.0
1631387653,378.49000,378.49,378.0
1631387717,378.49000,378.49,378.0
1631387782,378.49000,378.49,378.0
1631387846,378.49000,378.49,378.0
1631387910,378.49000,378.49,378.0
1631387975,378.49000,378.49,378.0
1631388041,378.49000,378.49,378.0
1631388106,378.49000,378.49,378.0
1631388171,378.49000,378.49,378.0
1631388235,378.49000,378.49,378.0
1631388300,378.49000,378.49,378.0
1631388364,378.49000,378.49,378.0
1631388429,378.49000,378.49,378.0
1631388493,378.49000,378.49,378.0
1631388557,378.49000,378.49,378.0
1631388622,378.49000,378.49,378.0
1631388686,378.49000,378.49,378.0
1631388750,378.49000,378.49,378.0
1631388814,378.49000,378.49,378.0
1631388879,378.49000,378.49,378.0
1631388943,378.49000,378.49,378.0
1631389007,378.49000,378.49,378.0
1631389072,378.49000,378.49,378.0
1631389136,378.49000,378.49,378.0
1631389201,378.49000,378.49,378.0
1631389265,378.49000,378.49,378.0
1631389330,378.49000,378.49,378.0
1631389394,378.49000,378.49,378.0
1631389458,378.49000,378.49,378.0
1631389522,378.49000,378.49,378.0
1631389587,378.49000,378.49,378.0
1631389651,378.49000,378.49,378.0
1631389716,378.49000,378.49,378.0
1631389780,378.49000,378.49,378.0
1631389844,378.49000,378.49,378.0
1631389908,378.49000,378.49,378.0
1631389973,378.49000,378.49,378.0
1631390037,378.49000,378.49,378.0
1631390101,378.49000,378.49,378.0
1631390166,378.49000,378.49,378.0
1631390230,378.49000,378.49,378.0
1631390294,378.49000,378.49,378.0
1631390359,378.49000,378.49,378.0
1631390423,378.49000,378.49,378.0
1631390488,378.49000,378.49,378.0
1631390552,378.49000,378.49,378.0
1631390616,378.49000,378.49,378.0
1631390681,378.49000,378.49,378.0
1631390745,378.49000,378.49,378.0
1631390809,378.49000,378.49,378.0
1631390873,378.49000,378.49,378.0
1631390937,378.49000,378.49,378.0
1631391001,378.49000,378.49,378.0
1631391066,378.49000,378.49,378.0
1631391130,378.49000,378.49,378.0
1631391194,378.49000,378.49,378.0
1631391259,378.49000,378.49,378.0
1631391323,378.49000,378.49,378.0
1631391387,378.49000,378.49,378.0
1631391451,378.49000,378.49,378.0
1631391515,378.49000,378.49,378.0
1631391580,378.49000,378.49,378.0
1631391645,378.49000,378.49,378.0
1631391709,378.49000,378.49,378.0
1631391773,378.49000,378.49,378.0
1631391837,378.49000,378.49,378.0
1631391901,378.49000,378.49,378.0
1631391965,378.49000,378.49,378.0
1631392029,378.49000,378.49,378.0
1631392094,378.49000,378.49,378.0
1631392165,378.49000,378.49,378.0
1631392229,378.49000,378.49,378.0
1631392293,378.49000,378.49,378.0
1631392358,378.49000,378.49,378.0
1631392422,378.49000,378.49,378.0
1631392486,378.49000,378.49,378.0
1631392551,378.49000,378.49,378.0
1631392615,378.49000,378.49,378.0
1631392679,378.49000,378.49,378.0
1631392743,378.49000,378.49,378.0
1631392809,378.49000,378.49,378.0
1631392873,378.49000,378.49,378.0
1631392937,378.49000,378.49,378.0
1631393001,378.49000,378.49,378.0
1631393066,378.49000,378.49,378.0
1631393131,378.49000,378.49,378.0
1631393200,378.49000,378.49,378.0
1631393264,378.49000,378.49,378.0
1631393329,378.49000,378.49,378.0
1631393394,378.49000,378.49,378.0
1631393458,378.49000,378.49,378.0
1631393522,378.49000,378.49,378.0
1631393587,378.49000,378.49,378.0
1631393651,378.49000,378.49,378.0
